肖申克的救赎  score:9.6
 site: http://movie.douban.com/subject/3395373/

买凶拍人  score:8.4
 site: http://movie.douban.com/subject/1300616/

傲慢与偏见  score:8.4
 site: http://movie.douban.com/subject/1418200/

她比烟花寂寞  score:8.4
 site: http://movie.douban.com/subject/1293708/

出租车司机  score:8.4
 site: http://movie.douban.com/subject/1292222/

速度与激情5  score:8.4
 site: http://movie.douban.com/subject/4286017/

角斗士  score:8.4
 site: http://movie.douban.com/subject/1293530/

导盲犬小Q  score:8.4
 site: http://movie.douban.com/subject/1316572/

黑客帝国3：矩阵革命  score:8.4
 site: http://movie.douban.com/subject/1302467/

血钻  score:8.4
 site: http://movie.douban.com/subject/1428175/

荒岛余生  score:8.4
 site: http://movie.douban.com/subject/1298653/

八月迷情  score:8.4
 site: http://movie.douban.com/subject/1844413/

两小无猜  score:8.3
 site: http://movie.douban.com/subject/1308817/

蓝色大门  score:8.3
 site: http://movie.douban.com/subject/1308575/

爱在暹罗  score:8.3
 site: http://movie.douban.com/subject/2365260/

源代码  score:8.3
 site: http://movie.douban.com/subject/3075287/

美国丽人  score:8.3
 site: http://movie.douban.com/subject/1292062/

新龙门客栈  score:8.3
 site: http://movie.douban.com/subject/1292287/

无耻混蛋  score:8.3
 site: http://movie.douban.com/subject/1438652/

夜访吸血鬼  score:8.3
 site: http://movie.douban.com/subject/1299327/

国王的演讲  score:8.3
 site: http://movie.douban.com/subject/4023638/

初恋这件小事  score:8.3
 site: http://movie.douban.com/subject/4739952/

青蛇  score:8.3
 site: http://movie.douban.com/subject/1303394/

花样年华  score:8.3
 site: http://movie.douban.com/subject/1291557/

暗战  score:8.3
 site: http://movie.douban.com/subject/1298898/

那些年，我们一起追的女孩  score:8.2
 site: http://movie.douban.com/subject/4920528/

桃姐  score:8.2
 site: http://movie.douban.com/subject/5977835/

老男孩  score:8.2
 site: http://movie.douban.com/subject/1308865/

第九区  score:8.1
 site: http://movie.douban.com/subject/3006772/

罗拉快跑  score:8.1
 site: http://movie.douban.com/subject/1292275/

社交网络  score:8.1
 site: http://movie.douban.com/subject/3205624/

